"동별","연령별","항목","단위","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"합계","합계","계","","10369593","10297138","10204057","10124579","10049607","10010983","9911088","9736027","9667669",
"합계","합계","한국인","","10103233","10022181","9930616","9857426","9765623","9729107","9668465","9509458","9428372",
"합계","0~4세","계","","411132","401736","385158","358848","333043","308979","277293","250044","232724",
"합계","0~4세","한국인","","404369","393903","376575","350277","324470","300799","270481","244538","227619",
"합계","5~9세","계","","393451","393870","389807","383928","372029","368373","359387","345196","323365",
"합계","5~9세","한국인","","389623","389396","384739","378185","365898","361894","353264","339145","317698",
"합계","10~14세","계","","459224","420313","398660","394060","384062","374510","375617","372040","366579",
"합계","10~14세","한국인","","456867","417806","395786","390804","380366","370557","371652","367879","362502",
"합계","15~19세","계","","594242","575896","548556","513886","484736","459621","416854","394566","394995",
"합계","15~19세","한국인","","587646","567984","538419","503852","474755","449014","410214","388257","386616",
"합계","20~24세","계","","727181","731898","723557","710866","701582","687693","666221","638174","621697",
"합계","20~24세","한국인","","701179","703783","690728","674674","658915","641964","630115","603077","578374",
"합계","25~29세","계","","793943","780413","786192","804676","822598","846081","858648","847622","844569",
"합계","25~29세","한국인","","756772","743438","751973","772441","790875","814659","830296","819200","811109",
"합계","30~34세","계","","933328","886056","832939","788419","760647","755347","752926","759825","782681",
"합계","30~34세","한국인","","904291","856461","803507","758616","730349","725858","726382","736001","758697",
"합계","35~39세","계","","831542","834251","839476","843213","842013","807231","770283","724373","688408",
"합계","35~39세","한국인","","809375","811792","817467","820573","818421","784101","748724","703278","667111",
"합계","40~44세","계","","922878","882934","832729","797861","753996","744593","745495","745909","747974",
"합계","40~44세","한국인","","897379","859470","811751","778634","734337","725112","728008","729566","730905",
"합계","45~49세","계","","862244","871552","893889","895452","882406","859556","819052","766924","733400",
"합계","45~49세","한국인","","832090","842139","866421","869355","856037","835871","800174","751214","718801",
"합계","50~54세","계","","865450","837594","805522","788454","798088","803690","807718","822207","821140",
"합계","50~54세","한국인","","830977","802504","770459","757665","766952","775779","784730","801892","801828",
"합계","55~59세","계","","801260","817172","827159","822599","812567","796430","766358","730761","713186",
"합계","55~59세","한국인","","773183","785829","799578","795878","780002","764189","738826","705302","690974",
"합계","60~64세","계","","552102","595890","639536","657191","685709","713607","726905","732970","729540",
"합계","60~64세","한국인","","542953","585240","627314","646571","673949","700646","714460","722662","717931",
"합계","65~69세","계","","439917","455406","451804","465476","471878","493045","533767","568036","585417",
"합계","65~69세","한국인","","437267","452512","448956","462481","468466","489156","529494","563260","579856",
"합계","70~74세","계","","345255","348379","351562","357537","373369","390166","406116","398337","410611",
"합계","70~74세","한국인","","344188","347368","350580","356509","372218","388790","404546","396569","408481",
"합계","75~79세","계","","225363","235634","252525","279394","289214","295933","300147","299887","305700",
"합계","75~79세","한국인","","224660","234999","251961","278800","288607","295297","299530","299231","305015",
"합계","80~84세","계","","119127","130679","141998","152988","164850","179234","188621","199533","219981",
"합계","80~84세","한국인","","118754","130345","141649","152642","164475","178836","188219","199138","219561",
"합계","85~89세","계","","58767","62607","66212","70628","74569","80837","90072","96094","101884",
"합계","85~89세","한국인","","58585","62456","66067","70471","74394","80651","89875","95871","101648",
"합계","90~94세","계","","22532","23280","24214","25948","27874","30921","33584","33907","34635",
"합계","90~94세","한국인","","22462","23212","24153","25877","27804","30848","33503","33815","34536",
"합계","95~99세","계","","5967","6523","7074","7621","8515","8870","9211","7957","7864",
"합계","95~99세","한국인","","5942","6507","7058","7602","8490","8842","9180","7920","7818",
"합계","100세 이상","계","","4688","5055","5488","5534","5862","6266","6813","1665","1319",
"합계","100세 이상","한국인","","4671","5037","5475","5519","5843","6244","6792","1643","1292",
"종로구","합계","계","","165344","163822","161922","164257","163026","161869","158996","153789","152211",
"종로구","합계","한국인","","156993","154986","152737","154770","153065","151290","149384","144683","141379",
"종로구","0~4세","계","","4609","4516","4438","4277","4041","3689","3197","2849","2694",
"종로구","0~4세","한국인","","4445","4353","4256","4111","3873","3540","3080","2720","2512",
"종로구","5~9세","계","","4991","5008","4923","5032","4871","4825","4596","4439","4100",
"종로구","5~9세","한국인","","4886","4903","4783","4892","4715","4671","4447","4264","3891",
"종로구","10~14세","계","","6704","6000","5552","5509","5416","5256","5261","5092","4930",
"종로구","10~14세","한국인","","6622","5912","5455","5413","5316","5153","5152","4934","4718",
"종로구","15~19세","계","","9372","9127","8777","8418","7851","7507","6463","5849","5948",
"종로구","15~19세","한국인","","9004","8635","8091","7565","7067","6595","5861","5447","5369",
"종로구","20~24세","계","","12979","13416","13759","14429","14485","14593","13721","12935","13088",
"종로구","20~24세","한국인","","11384","11459","11379","11524","11176","10924","10474","9965","9563",
"종로구","25~29세","계","","13283","13167","13088","13590","13804","13958","14261","14201","14547",
"종로구","25~29세","한국인","","11937","11813","11891","12383","12589","12648","12942","12837","12721",
"종로구","30~34세","계","","12696","12282","11559","11486","11150","11008","10902","11044","11419",
"종로구","30~34세","한국인","","11826","11398","10684","10662","10348","10172","10084","10302","10553",
"종로구","35~39세","계","","11242","11071","11045","11431","11571","10905","10505","9838","9553",
"종로구","35~39세","한국인","","10590","10428","10379","10771","10883","10204","9859","9168","8789",
"종로구","40~44세","계","","14467","13435","12194","11637","10781","10550","10525","10479","10477",
"종로구","40~44세","한국인","","13778","12814","11603","11112","10259","9981","9949","9909","9812",
"종로구","45~49세","계","","14123","14149","14425","14535","14163","13615","12759","11540","10651",
"종로구","45~49세","한국인","","13428","13474","13819","13960","13590","13096","12282","11060","10132",
"종로구","50~54세","계","","14388","13956","13347","13398","13355","13323","13399","13564","13230",
"종로구","50~54세","한국인","","13641","13201","12620","12815","12787","12768","12892","13100","12745",
"종로구","55~59세","계","","12965","13099","13342","13608","13587","13545","13120","12371","11928",
"종로구","55~59세","한국인","","12301","12366","12703","13042","12957","12946","12567","11857","11471",
"종로구","60~64세","계","","8988","9704","10382","10725","11209","11576","11780","11770","11688",
"종로구","60~64세","한국인","","8775","9478","10124","10490","10933","11274","11484","11511","11399",
"종로구","65~69세","계","","7748","7759","7500","7662","7755","7959","8569","8954","9047",
"종로구","65~69세","한국인","","7665","7679","7411","7568","7648","7854","8464","8841","8902",
"종로구","70~74세","계","","6956","6867","6661","6605","6596","6754","6784","6312","6251",
"종로구","70~74세","한국인","","6919","6839","6636","6581","6569","6702","6732","6254","6184",
"종로구","75~79세","계","","4814","4968","5274","5872","5964","5858","5787","5400","5237",
"종로구","75~79세","한국인","","4798","4953","5263","5858","5948","5836","5768","5383","5220",
"종로구","80~84세","계","","2663","2871","3112","3329","3549","3849","4011","4089","4358",
"종로구","80~84세","한국인","","2646","2861","3104","3320","3538","3836","3999","4078","4345",
"종로구","85~89세","계","","1370","1405","1487","1612","1686","1844","1985","2078","2117",
"종로구","85~89세","한국인","","1365","1400","1480","1602","1678","1837","1979","2071","2109",
"종로구","90~94세","계","","606","589","603","626","692","727","804","753","729",
"종로구","90~94세","한국인","","605","588","602","625","691","725","802","750","725",
"종로구","95~99세","계","","183","223","234","250","269","275","291","200","190",
"종로구","95~99세","한국인","","182","223","234","250","269","275","291","200","190",
"종로구","100세 이상","계","","197","210","220","226","231","253","276","32","29",
"종로구","100세 이상","한국인","","196","209","220","226","231","253","276","32","29",
"사직동","합계","계","","10132","10033","10013","9717","9818","9815","9806","9636","9355",
"사직동","합계","한국인","","9774","9700","9695","9441","9546","9535","9526","9372","9087",
"사직동","0~4세","계","","379","374","375","334","302","279","225","207","187",
"사직동","0~4세","한국인","","372","365","365","325","293","268","221","202","178",
"사직동","5~9세","계","","411","428","425","396","377","379","365","362","340",
"사직동","5~9세","한국인","","399","420","420","391","371","370","358","356","335",
"사직동","10~14세","계","","376","364","379","362","385","384","352","346","341",
"사직동","10~14세","한국인","","367","351","369","350","378","376","346","342","333",
"사직동","15~19세","계","","468","446","435","419","410","381","353","336","335",
"사직동","15~19세","한국인","","456","439","425","412","402","372","346","333","332",
"사직동","20~24세","계","","603","568","531","501","516","520","506","473","425",
"사직동","20~24세","한국인","","579","544","518","495","506","510","496","465","412",
"사직동","25~29세","계","","700","671","689","647","662","744","758","753","690",
"사직동","25~29세","한국인","","657","636","651","620","645","730","741","737","672",
"사직동","30~34세","계","","818","798","742","742","738","730","762","802","786",
"사직동","30~34세","한국인","","753","741","693","699","695","690","721","769","761",
"사직동","35~39세","계","","820","827","808","766","793","753","771","721","715",
"사직동","35~39세","한국인","","775","773","761","722","741","704","720","678","677",
"사직동","40~44세","계","","919","878","843","796","769","741","731","772","722",
"사직동","40~44세","한국인","","872","841","799","753","735","699","686","727","686",
"사직동","45~49세","계","","843","859","886","891","879","863","816","791","769",
"사직동","45~49세","한국인","","811","827","857","864","847","835","792","762","729",
"사직동","50~54세","계","","767","762","767","763","781","790","828","849","832",
"사직동","50~54세","한국인","","749","740","745","741","759","769","809","828","811",
"사직동","55~59세","계","","813","776","787","773","776","785","772","726","696",
"사직동","55~59세","한국인","","793","759","766","760","762","769","751","705","676",
"사직동","60~64세","계","","539","594","639","619","667","688","724","724","709",
"사직동","60~64세","한국인","","532","587","627","611","656","676","710","714","698",
"사직동","65~69세","계","","504","482","457","459","462","447","491","505","522",
"사직동","65~69세","한국인","","492","475","452","453","458","446","485","493","509",
"사직동","70~74세","계","","454","431","410","390","412","415","398","361","373",
"사직동","70~74세","한국인","","452","430","409","388","412","410","393","357","369",
"사직동","75~79세","계","","342","346","386","383","380","376","375","343","321",
"사직동","75~79세","한국인","","340","344","385","382","379","374","375","343","320",
"사직동","80~84세","계","","199","231","254","266","290","289","298","311","316",
"사직동","80~84세","한국인","","198","230","253","265","289","287","296","309","314",
"사직동","85~89세","계","","106","116","111","118","129","143","167","168","182",
"사직동","85~89세","한국인","","106","116","111","118","128","142","166","167","181",
"사직동","90~94세","계","","41","43","50","51","50","68","69","63","70",
"사직동","90~94세","한국인","","41","43","50","51","50","68","69","62","70",
"사직동","95~99세","계","","16","24","21","24","23","21","24","22","22",
"사직동","95~99세","한국인","","16","24","21","24","23","21","24","22","22",
"사직동","100세 이상","계","","14","15","18","17","17","19","21","1","2",
"사직동","100세 이상","한국인","","14","15","18","17","17","19","21","1","2",
"삼청동","합계","계","","3268","3174","3118","3097","3073","2997","2909","2739","2642",
"삼청동","합계","한국인","","3058","2960","2903","2907","2836","2758","2640","2456","2331",
"삼청동","0~4세","계","","87","83","76","71","71","60","50","49","38",
"삼청동","0~4세","한국인","","73","70","63","63","62","48","37","37","28",
"삼청동","5~9세","계","","108","106","107","102","100","81","90","87","78",
"삼청동","5~9세","한국인","","94","90","93","86","76","58","68","65","57",
"삼청동","10~14세","계","","123","117","99","111","115","119","121","110","119",
"삼청동","10~14세","한국인","","114","107","87","101","102","105","103","87","86",
"삼청동","15~19세","계","","175","164","159","137","127","116","104","98","105",
"삼청동","15~19세","한국인","","164","156","148","129","116","105","88","84","86",
"삼청동","20~24세","계","","176","180","181","192","175","170","144","153","125",
"삼청동","20~24세","한국인","","159","172","173","183","169","167","141","144","118",
"삼청동","25~29세","계","","189","179","172","190","192","199","180","178","171",
"삼청동","25~29세","한국인","","180","162","162","180","179","189","179","176","161",
"삼청동","30~34세","계","","251","222","207","185","206","202","186","161","175",
"삼청동","30~34세","한국인","","231","203","189","170","190","186","167","148","164",
"삼청동","35~39세","계","","251","246","260","256","258","234","226","192","167",
"삼청동","35~39세","한국인","","211","217","232","235","231","203","192","155","131",
"삼청동","40~44세","계","","249","232","212","210","209","225","231","229","234",
"삼청동","40~44세","한국인","","237","210","187","185","177","187","188","191","183",
"삼청동","45~49세","계","","248","236","259","248","231","208","201","187","187",
"삼청동","45~49세","한국인","","231","218","239","236","215","196","181","157","150",
"삼청동","50~54세","계","","279","284","247","233","231","217","207","210","201",
"삼청동","50~54세","한국인","","258","262","228","220","216","206","193","195","192",
"삼청동","55~59세","계","","280","271","277","291","271","243","241","206","187",
"삼청동","55~59세","한국인","","267","253","256","266","251","231","224","190","171",
"삼청동","60~64세","계","","205","221","238","237","253","259","254","254","229",
"삼청동","60~64세","한국인","","199","214","230","228","231","234","227","226","208",
"삼청동","65~69세","계","","180","184","178","171","168","178","197","193","197",
"삼청동","65~69세","한국인","","175","179","172","166","161","166","186","181","183",
"삼청동","70~74세","계","","184","165","152","150","157","161","164","143","145",
"삼청동","70~74세","한국인","","183","164","151","148","154","156","156","135","133",
"삼청동","75~79세","계","","113","123","125","145","136","141","126","112","105",
"삼청동","75~79세","한국인","","112","122","124","145","136","140","125","110","103",
"삼청동","80~84세","계","","85","88","91","85","89","92","94","89","93",
