"동별","구분별","항목","단위","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"합계","세대","주민등록인구(동별)","세대","3623929","3714697","3780305","3871024","3978938","4046086","4097562","4116660","4224181","4192752","4177970","4182351","4194176","4189948","4189839","4220082","4263868","4327605","4417954","4426007","4446296",
"합계","계","주민등록인구(동별)","명","10280523","10276968","10287847","10297004","10356202","10421782","10456034","10464051","10575447","10528774","10442426","10388055","10369593","10297138","10204057","10124579","10049607","10010983","9911088","9736027","9667669",
"합계","한국인","주민등록인구(동별)","명","10207295","10174086","10173162","10167344","10181166","10192710","10200827","10208302","10312545","10249679","10195318","10143645","10103233","10022181","9930616","9857426","9765623","9729107","9668465","9509458","9428372",
"합계","세대당인구","주민등록인구(동별)","명","2.84","2.7665697","2.7214331","2.6600207","2.6027553","2.5191531","2.49","2.48","2.44","2.44","2.44","2.43","2.41","2.39","2.37","2.34","2.29","2.25","2.19","2.15","2.12",
"합계","65세이상고령자","주민등록인구(동별)","명","-","646909","689986","731349","780900","852235","898700","942946","1007572","1049425","1110995","1167177","1221616","1267563","1300877","1365126","1416131","1485272","1568331","1605416","1667411",
"종로구","세대","주민등록인구(동별)","세대","70113","70288","70408","69982","70925","71968","74660","74315","77621","76688","75659","73693","73101","72645","72118","73594","73735","73947","75003","73494","72524",
"종로구","계","주민등록인구(동별)","명","184224","181441","178574","173861","172690","173843","179754","177543","179362","177419","173148","167867","165344","163822","161922","164257","163026","161869","158996","153789","152211",
"종로구","한국인","주민등록인구(동별)","명","181231","177519","174372","169315","166793","165846","170705","168603","170578","168382","165207","160070","156993","154986","152737","154770","153065","151290","149384","144683","141379",
"종로구","세대당인구","주민등록인구(동별)","명","2.63","2.5813937","2.5362743","2.4843674","2.4348255","2.3044409","2.29","2.27","2.2","2.2","2.18","2.17","2.15","2.13","2.12","2.1","2.08","2.05","1.99","1.97","1.95",
"종로구","65세이상고령자","주민등록인구(동별)","명","-","15874","16626","17083","17808","19127","20162","20753","22458","22939","23868","23997","24537","24892","25091","26182","26742","27519","28507","27818","27958",
"청운동","세대","주민등록인구(동별)","세대","1882","1826","1763","1689","1720","1670","","","","","","","","","","","","","","","",
"청운동","계","주민등록인구(동별)","명","5624","5517","5281","4996","5012","4915","","","","","","","","","","","","","","","",
"청운동","한국인","주민등록인구(동별)","명","5522","5356","5123","4829","4855","4743","","","","","","","","","","","","","","","",
"청운동","세대당인구","주민등록인구(동별)","명","2.99","3.0213582","2.9954623","2.9579633","2.9139535","2.8401198","","","","","","","","","","","","","","","",
"청운동","65세이상고령자","주민등록인구(동별)","명","-","486","498","474","499","515","","","","","","","","","","","","","","","",
"효자동","세대","주민등록인구(동별)","세대","4404","4564","4561","4591","4737","4835","","","","","","","","","","","","","","","",
"효자동","계","주민등록인구(동별)","명","12287","12342","12266","12155","12188","12230","","","","","","","","","","","","","","","",
"효자동","한국인","주민등록인구(동별)","명","12184","12253","12179","12074","12098","12131","","","","","","","","","","","","","","","",
"효자동","세대당인구","주민등록인구(동별)","명","2.79","2.7042068","2.6893225","2.6475713","2.5729365","2.5089969","","","","","","","","","","","","","","","",
"효자동","65세이상고령자","주민등록인구(동별)","명","-","1118","1186","1219","1283","1386","","","","","","","","","","","","","","","",
"사직동","세대","주민등록인구(동별)","세대","3438","3277","3626","3743","3663","3746","4400","4476","4699","4646","4574","4465","4400","4372","4399","4414","4528","4621","4758","4696","4570",
"사직동","계","주민등록인구(동별)","명","8565","8056","8659","8873","8530","8774","10451","10464","10668","10602","10477","10327","10132","10033","10013","9717","9818","9815","9806","9636","9355",
"사직동","한국인","주민등록인구(동별)","명","8350","7822","8338","8498","8137","8329","9943","10029","10203","10150","10033","9875","9774","9700","9695","9441","9546","9535","9526","9372","9087",
"사직동","세대당인구","주민등록인구(동별)","명","2.49","2.458346","2.3880309","2.3705584","2.3286923","2.2234383","2.26","2.24","2.17","2.18","2.19","2.21","2.22","2.22","2.2","2.14","2.11","2.06","2","2","1.99",
"사직동","65세이상고령자","주민등록인구(동별)","명","-","884","954","1027","1079","1195","1368","1389","1531","1563","1615","1616","1676","1688","1707","1708","1763","1778","1843","1774","1808",
"삼청동","세대","주민등록인구(동별)","세대","1927","1878","1833","1832","1797","1731","1684","1630","1659","1606","1558","1537","1461","1407","1403","1414","1408","1396","1342","1229","1148",
"삼청동","계","주민등록인구(동별)","명","5015","4759","4583","4365","4226","3985","3801","3717","3706","3590","3485","3367","3268","3174","3118","3097","3073","2997","2909","2739","2642",
"삼청동","한국인","주민등록인구(동별)","명","4906","4641","4457","4254","4097","3854","3671","3548","3517","3415","3322","3218","3058","2960","2903","2907","2836","2758","2640","2456","2331",
"삼청동","세대당인구","주민등록인구(동별)","명","2.6","2.5340788","2.5002728","2.3826419","2.3516973","2.2264587","2.18","2.18","2.12","2.13","2.13","2.09","2.09","2.1","2.07","2.06","2.01","1.98","1.97","2","2.03",
"삼청동","65세이상고령자","주민등록인구(동별)","명","-","574","546","561","568","603","589","568","593","607","621","640","647","633","624","634","634","664","674","625","626",
"부암동","세대","주민등록인구(동별)","세대","4665","4723","4620","4460","4501","4633","4607","4508","4630","4611","4566","4563","4494","4427","4371","4325","4315","4298","4392","4265","4144",
"부암동","계","주민등록인구(동별)","명","13175","13222","12722","12131","11938","12107","11933","11602","11648","11596","11478","11469","11356","11217","11044","10726","10537","10551","10333","9782","9536",
"부암동","한국인","주민등록인구(동별)","명","13066","13122","12637","12040","11794","11867","11588","11330","11406","11369","11236","11109","10933","10780","10616","10317","10149","10100","10022","9579","9241",
"부암동","세대당인구","주민등록인구(동별)","명","2.82","2.7994918","2.7536797","2.7199552","2.6522995","2.5614073","2.52","2.51","2.46","2.47","2.46","2.43","2.43","2.44","2.43","2.39","2.35","2.35","2.28","2.25","2.23",
"부암동","65세이상고령자","주민등록인구(동별)","명","-","1231","1285","1306","1331","1418","1433","1448","1537","1570","1654","1691","1723","1696","1723","1748","1742","1762","1839","1802","1814",
"평창동","세대","주민등록인구(동별)","세대","6820","6820","6761","6816","6922","6966","7068","7057","7342","7381","7395","7384","7416","7350","7537","7510","7592","7520","7522","7509","7270",
"평창동","계","주민등록인구(동별)","명","20599","20429","20170","20333","20022","19701","19757","19780","19921","19996","19816","19779","19595","19414","19457","19163","19105","18816","18582","18329","17858",
"평창동","한국인","주민등록인구(동별)","명","20209","20080","19862","19987","19645","19326","19353","19384","19566","19677","19543","19544","19393","19212","19290","18995","18951","18659","18391","18152","17663",
"평창동","세대당인구","주민등록인구(동별)","명","3.02","2.9954545","2.9832865","2.9831279","2.8925166","2.7743325","2.74","2.75","2.66","2.67","2.64","2.65","2.62","2.61","2.56","2.53","2.5","2.48","2.44","2.42","2.43",
"평창동","65세이상고령자","주민등록인구(동별)","명","-","1847","1928","2037","2146","2204","2291","2362","2507","2586","2712","2787","2889","2953","2952","3037","3154","3263","3398","3435","3495",
"무악동","세대","주민등록인구(동별)","세대","3115","3075","2794","2265","2263","2271","3161","3179","3293","3271","3220","3219","3174","3142","3056","3024","3002","3187","3192","3069","3017",
"무악동","계","주민등록인구(동별)","명","8941","8644","7818","6413","6264","6230","8693","8714","8754","8635","8598","8626","8445","8619","8516","8375","8260","8740","8592","8297","8052",
"무악동","한국인","주민등록인구(동별)","명","8898","8592","7769","6363","6210","6173","8607","8615","8663","8562","8548","8581","8376","8541","8453","8320","8215","8695","8546","8259","8023",
"무악동","세대당인구","주민등록인구(동별)","명","2.87","2.8110569","2.7981389","2.8313466","2.7680071","2.7181858","2.72","2.71","2.63","2.62","2.65","2.67","2.64","2.72","2.77","2.75","2.74","2.73","2.68","2.69","2.66",
"무악동","65세이상고령자","주민등록인구(동별)","명","-","660","680","540","598","671","884","971","1046","1085","1154","1184","1224","1217","1206","1279","1307","1413","1460","1424","1476",
"교남동","세대","주민등록인구(동별)","세대","3991","3983","4161","4321","4477","4335","4394","4268","4459","4473","4091","2688","2426","2333","2268","4379","4576","4583","4602","4458","4386",
"교남동","계","주민등록인구(동별)","명","9515","9209","9330","9526","9584","9256","9407","9145","9324","9250","8342","5450","5005","4875","4748","10363","10846","10708","10634","10203","9994",
"교남동","한국인","주민등록인구(동별)","명","9421","9092","9207","9400","9441","9051","9163","8936","9140","9048","8185","5347","4921","4797","4679","10225","10701","10562","10477","10046","9816",
"교남동","세대당인구","주민등록인구(동별)","명","2.38","2.3120763","2.2422495","2.2045823","2.1407192","2.0878893","2.09","2.09","2.05","2.02","2","1.99","2.03","2.06","2.06","2.34","2.34","2.3","2.28","2.25","2.24",
"교남동","65세이상고령자","주민등록인구(동별)","명","-","830","891","965","1000","1029","1106","1141","1254","1326","1306","838","838","872","888","1406","1483","1564","1644","1624","1656",
"가회동","세대","주민등록인구(동별)","세대","2704","2639","2620","2558","2567","2519","2510","2458","2535","2469","2408","2336","2286","2195","2131","2085","2058","2068","2077","1991","1931",
"가회동","계","주민등록인구(동별)","명","7025","6786","6595","6404","6335","6122","6044","5948","5857","5686","5520","5333","5214","4961","4780","4657","4546","4488","4418","4194","4065",
"가회동","한국인","주민등록인구(동별)","명","6928","6676","6446","6269","6179","5941","5850","5749","5709","5555","5397","5219","5070","4837","4635","4531","4429","4383","4325","4088","3941",
"가회동","세대당인구","주민등록인구(동별)","명","2.6","2.5714286","2.5171756","2.5035184","2.4678613","2.3584756","2.33","2.34","2.25","2.25","2.24","2.23","2.22","2.2","2.18","2.17","2.15","2.12","2.08","2.05","2.04",
"가회동","65세이상고령자","주민등록인구(동별)","명","-","688","727","763","763","779","800","800","875","853","870","889","883","882","878","900","902","919","937","865","840",
"종로1.2.3.4가동","세대","주민등록인구(동별)","세대","3833","3829","3845","3954","4015","4473","4437","4576","5289","5213","5276","5267","5416","5487","5384","5378","5291","5210","5283","5247","4926",
"종로1.2.3.4가동","계","주민등록인구(동별)","명","7501","7423","7373","7273","7628","8659","8645","8575","9155","9210","8984","8797","8920","8786","8727","8592","8462","8446","8448","8595","8700",
"종로1.2.3.4가동","한국인","주민등록인구(동별)","명","7099","6784","6668","6564","6646","7276","7242","7306","8010","7923","7953","7856","7894","7876","7741","7590","7420","7227","7256","7197","6728",
"종로1.2.3.4가동","세대당인구","주민등록인구(동별)","명","1.96","1.9386263","1.9175553","1.8394031","1.8998755","1.6266488","1.63","1.6","1.51","1.52","1.51","1.49","1.46","1.44","1.44","1.41","1.4","1.39","1.37","1.37","1.37",
"종로1.2.3.4가동","65세이상고령자","주민등록인구(동별)","명","-","1040","1076","1059","1116","1244","1247","1277","1528","1552","1656","1697","1736","1788","1814","1865","1872","1900","1991","1960","1757",
"종로5.6가동","세대","주민등록인구(동별)","세대","2825","2820","2819","2886","3024","3053","3014","3017","3147","3140","3185","3117","3119","3237","3170","3174","3139","3368","3415","3385","3511",
"종로5.6가동","계","주민등록인구(동별)","명","7496","7447","7250","7054","7146","7013","6839","6618","6640","6501","6438","6245","6069","6057","5775","5690","5597","5839","5656","5476","5817",
"종로5.6가동","한국인","주민등록인구(동별)","명","7432","7230","7009","6857","6886","6675","6481","6287","6302","6156","6120","5926","5744","5719","5496","5357","5225","5343","5242","5089","5300",
"종로5.6가동","세대당인구","주민등록인구(동별)","명","2.65","2.6407801","2.571834","2.4442134","2.3630952","2.1863741","2.15","2.08","2","1.96","1.92","1.9","1.84","1.77","1.73","1.69","1.66","1.59","1.53","1.5","1.51",
"종로5.6가동","65세이상고령자","주민등록인구(동별)","명","-","691","717","744","780","816","841","877","890","917","973","1032","1057","1081","1089","1089","1091","1117","1119","1057","1068",
"이화동","세대","주민등록인구(동별)","세대","4242","4330","4472","4417","4525","4503","4539","4448","4552","4551","4520","4497","4481","4508","4443","4462","4485","4441","4430","4298","4301",
"이화동","계","주민등록인구(동별)","명","11206","11031","10984","10541","10628","10625","10495","9984","9991","9820","9521","9435","9312","9216","8927","8752","8621","8470","8111","7705","7631",
"이화동","한국인","주민등록인구(동별)","명","10617","10550","10568","10121","9941","9652","9585","9296","9358","9252","9029","8995","8814","8690","8436","8249","8083","7847","7588","7231","7101",
"이화동","세대당인구","주민등록인구(동별)","명","2.64","2.5475751","2.4561717","2.3864614","2.3487293","2.1434599","2.11","2.09","2.06","2.03","2","2","1.97","1.93","1.9","1.85","1.8","1.77","1.71","1.68","1.65",
"이화동","65세이상고령자","주민등록인구(동별)","명","-","790","866","871","899","924","939","976","1087","1102","1112","1156","1197","1211","1259","1302","1342","1377","1415","1360","1358",
"명륜3가동","세대","주민등록인구(동별)","세대","3365","3398","3428","3458","3544","3610","3748","3618","3556","3496","","","","","","","","","","","",
"명륜3가동","계","주민등록인구(동별)","명","7436","7287","7085","7044","7083","7143","7434","7320","7221","7271","","","","","","","","","","","",
"명륜3가동","한국인","주민등록인구(동별)","명","7328","7149","6925","6853","6728","6646","6741","6467","6336","6246","","","","","","","","","","","",
"명륜3가동","세대당인구","주민등록인구(동별)","명","2.21","2.1444968","2.0668028","2.0370156","1.9985892","1.8409972","1.8","1.79","1.78","1.79","","","","","","","","","","","",
"명륜3가동","65세이상고령자","주민등록인구(동별)","명","-","627","673","701","719","763","787","836","851","881","","","","","","","","","","","",
"창신1동","세대","주민등록인구(동별)","세대","3627","3684","3342","3268","3270","3438","3501","3465","3760","3611","3500","3345","3321","3252","3132","3050","2996","2936","2961","2823","2706",
"창신1동","계","주민등록인구(동별)","명","8774","8799","7959","7808","7790","8334","8570","8495","8664","8386","7669","7237","7097","6862","6590","6285","6237","6079","5964","5631","5383",
"창신1동","한국인","주민등록인구(동별)","명","8644","8421","7518","7234","7042","7095","7060","6915","7113","6854","6617","6334","6209","5983","5744","5520","5364","5243","5129","4891","4646",
