"동별","연령별","항목","단위","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"합계","0~4세","계","","411132","401736","385158","358848","333043","308979","277293","250044","232724",
"합계","0~4세","한국인","","404369","393903","376575","350277","324470","300799","270481","244538","227619",
"합계","0~4세","외국인","","6763","7833","8583","8571","8573","8180","6812","5506","5105",
"합계","5~9세","계","","393451","393870","389807","383928","372029","368373","359387","345196","323365",
"합계","5~9세","한국인","","389623","389396","384739","378185","365898","361894","353264","339145","317698",
"합계","5~9세","외국인","","3828","4474","5068","5743","6131","6479","6123","6051","5667",
"합계","10~14세","계","","459224","420313","398660","394060","384062","374510","375617","372040","366579",
"합계","10~14세","한국인","","456867","417806","395786","390804","380366","370557","371652","367879","362502",
"합계","10~14세","외국인","","2357","2507","2874","3256","3696","3953","3965","4161","4077",
"합계","15~19세","계","","594242","575896","548556","513886","484736","459621","416854","394566","394995",
"합계","15~19세","한국인","","587646","567984","538419","503852","474755","449014","410214","388257","386616",
"합계","15~19세","외국인","","6596","7912","10137","10034","9981","10607","6640","6309","8379",
"합계","20~24세","계","","727181","731898","723557","710866","701582","687693","666221","638174","621697",
"합계","20~24세","한국인","","701179","703783","690728","674674","658915","641964","630115","603077","578374",
"합계","20~24세","외국인","","26002","28115","32829","36192","42667","45729","36106","35097","43323",
"합계","25~29세","계","","793943","780413","786192","804676","822598","846081","858648","847622","844569",
"합계","25~29세","한국인","","756772","743438","751973","772441","790875","814659","830296","819200","811109",
"합계","25~29세","외국인","","37171","36975","34219","32235","31723","31422","28352","28422","33460",
"합계","30~34세","계","","933328","886056","832939","788419","760647","755347","752926","759825","782681",
"합계","30~34세","한국인","","904291","856461","803507","758616","730349","725858","726382","736001","758697",
"합계","30~34세","외국인","","29037","29595","29432","29803","30298","29489","26544","23824","23984",
"합계","35~39세","계","","831542","834251","839476","843213","842013","807231","770283","724373","688408",
"합계","35~39세","한국인","","809375","811792","817467","820573","818421","784101","748724","703278","667111",
"합계","35~39세","외국인","","22167","22459","22009","22640","23592","23130","21559","21095","21297",
"합계","40~44세","계","","922878","882934","832729","797861","753996","744593","745495","745909","747974",
"합계","40~44세","한국인","","897379","859470","811751","778634","734337","725112","728008","729566","730905",
